arxiu,Tipus,Mida,USB,TB,VelUSB,VelTB,Ratio
65,MP4,"64,894713","0,347544193","0,32167697","186,723629","201,7387601","1,080413664"
66,MP4,"116,638082","0,614817143","0,539675951","189,7118248","216,1261434","1,139233908"
67,MP4,"35,369852","0,219016075","0,187906981","161,4943194","188,2306442","1,165555822"
68,MP4,"204,371198","1,140622854","1,025515079","179,175086","199,2863899","1,112243864"
69,MP4,"28,529566","0,182405949","0,143035173","156,4069934","199,4583942","1,275252403"
70,MP4,"148,50979","0,889312983","0,8273139","166,9938401","179,5083946","1,074940216"
71,MP4,"58,349426","0,393936157","0,33107996","148,1189907","176,2396795","1,189852015"
72,MP4,"201,433637","1,197675943","1,048190117","168,1870944","192,172807","1,142613276"
73,LRV,"22,731068","0,182331085","0,129409075","124,6691861","175,6528129","1,408951308"
74,MP4,"226,253181","1,266708136","1,124615192","178,6150848","201,1827535","1,126348056"
75,AVI,"569,0368","3,757651091","3,244451046","151,4341769","175,3876979","1,158177774"
76,AVI,"2125,094912","13,72282696","11,78016114","154,8583917","180,3960817","1,164909953"
77,IPA,"48,383179","0,244719029","0,235810995","197,7091005","205,1777907","1,037776158"
78,IPA,"287,079298","1,526337147","1,359869957","188,0838048","211,1079052","1,122414051"
79,IPA,"38,386443","0,218111038","0,204355001","175,994958","187,8419551","1,067314412"
80,IPA,"38,420874","0,21388197","0,218727112","179,6358716","175,6566604","0,97784846"
81,ZIP,"18,479369","0,112046957","0,11510396","164,9252197","160,5450325","0,973441374"
